partition,questions,articles,unanswerable,unanswerable_frac,gold_in_topk,reader_EM,reader_F1,error_rate
rel_train,2400,24,815,0.33958333333333335,0.8654166666666666,0.1028391167192429,0.1485406164112789,0.89125
rel_calib,1200,12,423,0.3525,0.8708333333333333,0.10038610038610038,0.14297503331116776,0.8975
test,3585,36,1056,0.29456066945606696,0.8909344490934449,0.09489916963226572,0.14511931639753547,0.8856345885634589
