method,n,error_auc,error_auc_lo,error_auc_hi,aurc,aurc_lo,aurc_hi,sel_acc@0.5,sel_acc@0.7,sel_acc@0.9,cov@acc0.8,cov@acc0.9,description
B1,3585,0.5,0.5,0.5,0.88900667808197,0.845521973407601,0.9161810382841683,0.09877232142857142,0.10637450199203187,0.1115933044017359,0.0,0.0,Always answer (no abstention) - floor
B2,3585,0.49195467639715773,0.45437594138071297,0.5304263294231292,0.8822875039209032,0.849759503417582,0.9083640003743375,0.10658482142857142,0.11434262948207172,0.11376317420954743,0.0016736401673640166,0.0005578800557880056,Reader span-probability threshold
B3,3585,0.5634207797196082,0.535349211105243,0.5925005138219103,0.8685925849515442,0.8361894808958695,0.896184786694618,0.1328125,0.12629482071713147,0.11593304401735896,0.0,0.0,Retrieval top-1 similarity threshold
B4,3585,0.5526475897829844,0.521581781346475,0.58229327010078,0.8683262945836838,0.8364602105516367,0.8982109245947326,0.12667410714285715,0.12350597609561753,0.11748295102293863,0.0,0.0,Reader null-answer score (the model's own trained no-answer head)
B5,3585,0.5241793739197235,0.5079598384467938,0.5427549381560413,0.8785048065221762,0.8411581059690971,0.9018788063691285,0.10714285714285714,0.11115537848605578,0.11376317420954743,0.0,0.0,"Reader-only calibrator (Kamath, Jia & Liang 2020 analogue)"
P1,3585,0.6389898213942768,0.6127289403427801,0.6667616489525582,0.8422535049205802,0.8028514125054457,0.8731199489488107,0.14620535714285715,0.13545816733067728,0.12213267203967762,0.0,0.0,Proposed: fused calibrator over retrieval + reader + agreement features
