config,n_features,error_auc,aurc,aurc_lo,aurc_hi,d_aurc_vs_full,d_lo,d_hi,excludes_zero
Full (R+D+A),16,0.6389898213942768,0.8422535049205802,0.8028514125054457,0.8731199489488107,0.0,0.0,0.0,False
- Retrieval,9,0.541036681390436,0.8698246426159099,0.8310920920901953,0.8971855872871816,0.027434530235010475,0.014899701458597392,0.04113543624472752,True
- Reader,11,0.6201636258882275,0.8466543312998918,0.8120089922586452,0.8783614622245542,0.0067397026458714945,-0.004384386435716775,0.01893953401669844,False
- Agreement,12,0.6021017860572306,0.8513397726342383,0.8136291582469007,0.8829090274380059,0.01025986944232023,0.004278701211325273,0.017250159352649008,True
Retrieval only,7,0.5661812944113694,0.864041910046398,0.8300240304975077,0.8915290879163524,0.02221940874448282,0.008773619989796444,0.035155560666534295,True
Reader only,5,0.5241793739197235,0.8785048065221762,0.8411581059690971,0.9018788063691285,0.03452250381919811,0.01909803468961189,0.0494716492851793,True
Agreement only,4,0.5680245822930671,0.8694214145658666,0.8356257820450523,0.8951444547798639,0.02829810653904463,0.013791210924441915,0.04198527765865766,True
