method,setting,n,error_auc,aurc,aurc_lo,aurc_hi,ece,base_error_rate
P1,A -> A (in-domain),3585,0.6389898213942768,0.8422535049205802,0.8028514125054457,0.8731199489488107,0.01199503821686163,0.8856345885634589
P1,A -> B (transfer),1000,0.64945,0.8611744215223368,0.8260491749038357,0.8879904063984772,0.014283642276991223,0.9
P1,B -> B (in-domain ceiling),1000,0.5679722222222223,0.8843020545439636,0.8394191599643944,0.9043672774905391,0.047879885630592874,0.9
B5,A -> A (in-domain),3585,0.5241793739197235,0.8785048065221762,0.8411581059690971,0.9018788063691285,0.013353212187915532,0.8856345885634589
B5,A -> B (transfer),1000,0.5176777777777779,0.9002624587534398,0.8601032285795446,0.9186650247006944,0.0028930891424222864,0.9
B5,B -> B (in-domain ceiling),1000,0.586211111111111,0.877286152870815,0.8437549631120065,0.897544274238924,0.05266593882580538,0.9
