qtype,n,accuracy,mean_risk
what,1713,0.08873321657910099,0.8972138856216855
other,382,0.1099476439790576,0.8886092621189519
who,366,0.16120218579234974,0.8901480815880815
how_many,257,0.1867704280155642,0.8920460743513858
when,256,0.1875,0.8981290683826796
which,256,0.11328125,0.8922191181931864
where,169,0.10059171597633136,0.9047083336505014
how,127,0.11023622047244094,0.8957328980899353
why,59,0.01694915254237288,0.907293396220827
