stage,median_ms,mean_ms,p95_ms,n
retrieval,43.54049100004431,44.836817925121515,60.98823879999599,7185
reader,19.834216999925047,20.219140242310814,23.798259999989565,7185
reliability features,0.2213120000078561,0.23230877745283146,0.31716300006792153,7185
risk model + gate,1.7355065000401737,1.8210613900009776,2.0569264499954443,100
end-to-end query (retrieval+reader+features),63.76672500005043,65.28826694488515,83.03016419999948,7185
RELIABILITY LAYER TOTAL (features + gate),1.9568185000480298,,2.374089450063366,7185
